Equipment Name;Equipment ID;Path Length;Lieu Path;ID Path
"C";100266;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 4";"6676>6724>6962>6963>6979>6984"
"C";100158;3;"US Open>Outer Courts>Court 10>JBB 10.1 S";"6676>6724>6932>6948"
"CA - CB";101192;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"Cam 16";100732;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 1>Cam Player Box 16";"6676>6682>6684>6716>7047"
"Cam 17";100733;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 1>Cam Player Box 17";"6676>6682>6684>6716>7048"
"Card A";101213;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 1>JBB North Dugout>To Upper Broadcast Top Level";"6676>6682>6684>6716>7226>7223"
"Card A";100734;6;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 1>JBB North Dugout>Wall Box #1>Wall Box#1";"6676>6682>6684>6716>7226>7049>7050"
"Card A";100743;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 1>JBB Interview Room #3>ITW Room 3";"6676>6682>6684>6716>6781>7055"
"Card A";100742;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 1>JBB Interview Room #2>ITW Room 2";"6676>6682>6684>6716>6780>7054"
"Card A";100740;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 1>JBB Interview Room #1>ITW Room 1";"6676>6682>6684>6716>6779>7053"
"Card A";100451;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.01>Box 10 (JBAVT-1 Cab B)";"6676>6682>6684>6762>6861>7009"
"Card A";100785;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.01>Box 11";"6676>6682>6684>6762>6861>7093"
"Card A";99676;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.01>Box 6 (JBAVT1 Cab C)";"6676>6682>6684>6762>6861>6871"
"Card A";99689;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.01>Box 7";"6676>6682>6684>6762>6861>6872"
"Card A";100414;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.01>Box 8";"6676>6682>6684>6762>6861>7007"
"Card A";100438;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.01>Box 9 (6310 Cab A Box#6)";"6676>6682>6684>6762>6861>7008"
"Card A";100113;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Cabinet 6310>Box 4";"6676>6682>6684>6713>6717>6914"
"Card A";100884;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 1>JBB South East Dugout>South East Dugout Wall Box";"6676>6682>6684>6716>6778>7116"
"Card A";101170;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 1>JBB Studio 3>Studio 3";"6676>6682>6684>6716>7215>7216"
"Card A";100888;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 1>JBB South Dugout Middle>South Dugout Mid Room";"6676>6682>6684>6716>6777>7117"
"Card A";101211;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 1>JBB Near Media Dining>JBB Near Media Dining";"6676>6682>6684>6716>6775>7221"
"Card A";100710;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 7 BCast Admin UpLvL>JBB 7.E";"6676>6682>6684>6714>6789"
"Card A";100711;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 7 BCast Admin UpLvL>JBB 7.W";"6676>6682>6684>6714>6790"
"Card A";100712;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 7 BCast Admin UpLvL>JBB 7002 Upper BC";"6676>6682>6684>6714>6791"
"Card A";100713;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 7 BCast Admin UpLvL>JBB 7003";"6676>6682>6684>6714>6792"
"Card A";100714;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 7 BCast Admin UpLvL>JBB 7007";"6676>6682>6684>6714>6793"
"Card A";100716;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 7 BCast Admin UpLvL>JBB 7009 BC Admin Roof";"6676>6682>6684>6714>6794"
"Card A";100718;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 7 BCast Admin UpLvL>JBB 7012 Upper BC ESPN INT";"6676>6682>6684>6714>6795"
"Card A";100123;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Cabinet 6310>Box 1";"6676>6682>6684>6713>6717>6915"
"Card A";100520;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.03>Box 9";"6676>6682>6684>6762>6863>7014"
"Card A";99703;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.02>Box 1 (WCamp JBB Court Boxes)";"6676>6682>6684>6762>6862>6873"
"Card A";99716;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.02>Box 2";"6676>6682>6684>6762>6862>6874"
"Card A";99743;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.02>Box 4";"6676>6682>6684>6762>6862>6876"
"Card A";99756;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.02>Box 5";"6676>6682>6684>6762>6862>6877"
"Card A";99769;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.02>Box 6 (JBAVT-1 Cab C)";"6676>6682>6684>6762>6862>6878"
"Card A";99782;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.02>Box 7 (JBAVT-1 Cab C)";"6676>6682>6684>6762>6862>6879"
"Card A";100461;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.02>Box 8 (JBAVT-1 Cab C)";"6676>6682>6684>6762>6862>7010"
"Card A";100474;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.02>Box 9 (JBAVT-1 Cab C)";"6676>6682>6684>6762>6862>7011"
"Card A";100487;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.02>Box 10";"6676>6682>6684>6762>6862>7012"
"Card A";100393;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.01>Box 3";"6676>6682>6684>6762>6861>6868"
"Card A";99649;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.01>Box 4";"6676>6682>6684>6762>6861>6869"
"Card A";100459;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.02>Box 3 (6310.2 B#1)";"6676>6682>6684>6762>6862>6875"
"Card A";100623;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.06>Box 8 (AVT 108)";"6676>6682>6684>6762>7020>7024"
"Card A";100080;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.10>Box 2";"6676>6682>6684>6762>6909>6911"
"Card A";100093;5;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>PATCHROOM 1108>1108.10>Box 3";"6676>6682>6684>6762>6909>6912"
